Date,Transaction Type,Name,Memo/Description,Split,Amount,Balance
06/30/2022,Expense,Adobe,,Tools & Subscription - S&M,15.19,20352692.43
06/30/2022,Expense,Meggykenny Pty Ltd,Mike ross,Credit Card - Ramp,77.54,20352769.97
06/30/2022,Bill,EntityA,,outsources Services - Australia,231011.05,20583781.02
06/30/2022,Bill,Big Company ,,Outsources Services - India,27432.95,20611213.97
06/30/2022,Bill,EntityA,,outsources Services - Australia,915.77,20612129.74
06/30/2022,Bill,EntityA,FY 2022 expenses incurred Plus 10% mark up per the MSA,Account2,231011.05,20843140.79
06/30/2022,Bill,EntityA,,outsources Services - Australia,231011.05,21074151.84
07/01/2022,Expense,Gusto,GUSTO,Account1,-0.11,21074151.73
07/01/2022,Expense,Google G Suite,Mike ross,Credit Card - Ramp,98.5,21074250.23
07/01/2022,Expense,Income Capitals ,Income Capitals ,Account1,8264,21082514.23
07/01/2022,Deposit,Gusto,GUSTO,Accounts Payable (A/P),0.15,21082514.38
07/01/2022,Deposit,,SQUARE PEG 2022 PTY LTD ATF SQUARE,Account1,3550000,24632514.38
07/01/2022,Expense,Slack,Mike ross,Credit Card - Ramp,18.63,24632533.01
07/01/2022,Expense,Gusto,GUSTO,Accounts Payable (A/P),-0.11,24632532.9
07/01/2022,Deposit,,SQUARE PEG 2022 PTY LTD ATF SQUARE,Series Seed Preferred Share:Square Peg - Investment,3550000,28182532.9
07/01/2022,Expense,Google G Suite,Mike ross,Credit Card - Ramp,98.5,28182631.4
07/01/2022,Deposit,Gusto,GUSTO,Accounts Payable (A/P),0.11,28182631.51
07/01/2022,Deposit,Gusto,GUSTO,Accounts Payable (A/P),0.15,28182631.66
07/01/2022,Expense,Slack,,Tools & Subscription - G&A,18.63,28182650.29
07/01/2022,Expense,Google G Suite,,Tools & Subscription - G&A,98.5,28182748.79
07/01/2022,Deposit,Gusto,GUSTO,Account1,0.11,28182748.9
07/01/2022,Expense,Income Capitals ,Income Capitals ,Account1,8264,28191012.9
07/01/2022,Expense,Gusto,GUSTO,Account1,-0.11,28191012.79
07/01/2022,Deposit,Gusto,GUSTO,Account1,0.15,28191012.94
07/01/2022,Deposit,Gusto,GUSTO,Account1,0.11,28191013.05
07/01/2022,Expense,Income Capitals ,Income Capitals ,Contract labor,-8264,28182749.05
07/01/2022,Deposit,Gusto,GUSTO,Account1,0.15,28182749.2
07/01/2022,Expense,Slack,,Tools & Subscription - G&A,18.63,28182767.83
07/01/2022,Deposit,Gusto,GUSTO,Account1,0.11,28182767.94
07/01/2022,Expense,Google G Suite,,Tools & Subscription - G&A,98.5,28182866.44
07/01/2022,Deposit,Gusto,GUSTO,Account1,0.15,28182866.59
07/01/2022,Deposit,,SQUARE PEG 2022 PTY LTD ATF SQUARE,Account1,3550000,31732866.59
07/01/2022,Expense,Slack,,Tools & Subscription - G&A,18.63,31732885.22
07/01/2022,Expense,Google G Suite,,Tools & Subscription - G&A,98.5,31732983.72
07/01/2022,Expense,Google G Suite,Mike ross,Credit Card - Ramp,98.5,31733082.22
07/01/2022,Expense,Slack,,Tools & Subscription - G&A,18.63,31733100.85
07/01/2022,Deposit,Gusto,GUSTO,Accounts Payable (A/P),0.11,31733100.96
07/01/2022,Deposit,Gusto,GUSTO,Accounts Payable (A/P),0.15,31733101.11
07/01/2022,Expense,Slack,Mike ross,Credit Card - Ramp,18.63,31733119.74
07/01/2022,Deposit,,SQUARE PEG 2022 PTY LTD ATF SQUARE,Series Seed Preferred Share:Square Peg - Investment,3550000,35283119.74
07/01/2022,Deposit,Gusto,GUSTO,Account1,0.15,35283119.89
07/01/2022,Expense,Gusto,GUSTO,Account1,-0.11,35283119.78
07/01/2022,Expense,Google G Suite,,Tools & Subscription - G&A,98.5,35283218.28
07/01/2022,Deposit,,SQUARE PEG 2022 PTY LTD ATF SQUARE,Account1,3550000,38833218.28
07/01/2022,Expense,Income Capitals ,Income Capitals ,Account1,8264,38841482.28
07/01/2022,Deposit,,SQUARE PEG 2022 PTY LTD ATF SQUARE,Series Seed Preferred Share:Square Peg - Investment,3550000,42391482.28
07/01/2022,Expense,Gusto,GUSTO,Accounts Payable (A/P),-0.11,42391482.17
07/01/2022,Expense,Gusto,GUSTO,Accounts Payable (A/P),-0.11,42391482.06
07/01/2022,Deposit,Gusto,GUSTO,Accounts Payable (A/P),0.15,42391482.21
07/01/2022,Expense,Gusto,GUSTO,Account1,-0.11,42391482.1
07/01/2022,Expense,Slack,Mike ross,Credit Card - Ramp,18.63,42391500.73
07/01/2022,Expense,Income Capitals ,Income Capitals ,Contract labor,-8264,42383236.73
07/01/2022,Expense,Gusto,GUSTO,Accounts Payable (A/P),-0.11,42383236.62
07/01/2022,Deposit,Gusto,GUSTO,Accounts Payable (A/P),0.11,42383236.73
07/01/2022,Expense,Income Capitals ,Income Capitals ,Contract labor,-8264,42374972.73
07/01/2022,Deposit,,SQUARE PEG 2022 PTY LTD ATF SQUARE,Series Seed Preferred Share:Square Peg - Investment,3550000,45924972.73
07/01/2022,Deposit,Gusto,GUSTO,Account1,0.11,45924972.84
07/01/2022,Deposit,,SQUARE PEG 2022 PTY LTD ATF SQUARE,Account1,3550000,49474972.84
07/01/2022,Expense,Income Capitals ,Income Capitals ,Account1,8264,49483236.84
07/01/2022,Deposit,Gusto,GUSTO,Accounts Payable (A/P),0.11,49483236.95
07/01/2022,Expense,Income Capitals ,Income Capitals ,Contract labor,-8264,49474972.95
07/02/2022,Expense,Render,,Tools & Subscription - G&A,3.82,49474976.77
07/02/2022,Expense,Render,Balapavan Tirumani,Credit Card - Ramp,3.82,49474980.59
07/02/2022,Expense,Render,Balapavan Tirumani,Credit Card - Ramp,3.82,49474984.41
07/02/2022,Expense,Emirates,Mike ross,Credit Card - Ramp,1301.84,49476286.25
07/02/2022,Expense,Emirates,Mike ross,Credit Card - Ramp,1301.84,49477588.09
07/02/2022,Expense,Render,,Tools & Subscription - G&A,3.82,49477591.91
07/02/2022,Expense,Emirates,,Travel:Airfare,1301.84,49478893.75
07/02/2022,Expense,Render,,Tools & Subscription - G&A,3.82,49478897.57
07/02/2022,Expense,Emirates,,Travel:Airfare,1301.84,49480199.41
07/02/2022,Expense,Emirates,,Travel:Airfare,1301.84,49481501.25
07/02/2022,Expense,Emirates,Mike ross,Credit Card - Ramp,1301.84,49482803.09
07/02/2022,Expense,Render,,Tools & Subscription - G&A,3.82,49482806.91
07/02/2022,Expense,Emirates,,Travel:Airfare,1301.84,49484108.75
07/02/2022,Expense,Render,Balapavan Tirumani,Credit Card - Ramp,3.82,49484112.57
07/03/2022,Expense,Mazurek Co,Harvey Spector,Credit Card - Ramp,29.95,49484142.52
07/03/2022,Expense,Mazurek Co,,Tools & Subscription - G&A,29.95,49484172.47
07/03/2022,Expense,Mazurek Co,,Tools & Subscription - G&A,29.95,49484202.42
07/03/2022,Expense,Mazurek Co,,Tools & Subscription - G&A,29.95,49484232.37
07/03/2022,Expense,Mazurek Co,Harvey Spector,Credit Card - Ramp,29.95,49484262.32
07/03/2022,Expense,Mazurek Co,,Tools & Subscription - G&A,29.95,49484292.27
07/03/2022,Expense,Mazurek Co,Harvey Spector,Credit Card - Ramp,29.95,49484322.22
07/04/2022,Expense,HCC Medical Insurance Services,Harvey Spector,Credit Card - Ramp,48,49484370.22
07/04/2022,Deposit,,Interest Accrual,Savings (6977),9.11,49484379.33
07/04/2022,Deposit,,Interest Accrual,Interest Received,9.11,49484388.44
07/04/2022,Expense,HCC Medical Insurance Services,,Insurance,48,49484436.44
07/04/2022,Deposit,,Interest Accrual,Interest Received,9.11,49484445.55
07/04/2022,Deposit,,Interest Accrual,Savings (6977),9.11,49484454.66
07/04/2022,Deposit,,Interest Accrual,Savings (6977),9.11,49484463.77
07/04/2022,Expense,HCC Medical Insurance Services,Harvey Spector,Credit Card - Ramp,48,49484511.77
07/04/2022,Expense,HCC Medical Insurance Services,,Insurance,48,49484559.77
07/04/2022,Expense,HCC Medical Insurance Services,Harvey Spector,Credit Card - Ramp,48,49484607.77
07/04/2022,Deposit,,Interest Accrual,Interest Received,9.11,49484616.88
07/04/2022,Expense,HCC Medical Insurance Services,,Insurance,48,49484664.88
07/04/2022,Expense,HCC Medical Insurance Services,Harvey Spector,Credit Card - Ramp,48,49484712.88
07/04/2022,Deposit,,Interest Accrual,Interest Received,9.11,49484721.99
07/04/2022,Expense,HCC Medical Insurance Services,,Insurance,48,49484769.99
07/05/2022,Transfer,,PaymentServiceB Savings **6977,Savings (6977),-3500000,45984769.99
07/05/2022,Expense,Gusto,GUSTO,Accounts Payable (A/P),-0.15,45984769.84
07/05/2022,Transfer,,PaymentServiceB Savings **6977,Savings (6977),-3500000,42484769.84
07/05/2022,Expense,Gusto,GUSTO,Accounts Payable (A/P),-0.15,42484769.69
07/05/2022,Expense,Gusto,GUSTO,Account1,-0.15,42484769.54
07/05/2022,Transfer,,PaymentServiceB Savings **6977,Savings (6977),-3500000,38984769.54
07/05/2022,Transfer,,PaymentServiceB Savings **6977,Account1,3500000,42484769.54
07/05/2022,Expense,Gusto,GUSTO,Account1,-0.15,42484769.39
07/05/2022,Transfer,,PaymentServiceB Savings **6977,Savings (6977),-3500000,38984769.39
07/05/2022,Expense,Gusto,GUSTO,Account1,-0.15,38984769.24
07/05/2022,Transfer,,PaymentServiceB Savings **6977,Account1,3500000,42484769.24
07/05/2022,Expense,Gusto,GUSTO,Accounts Payable (A/P),-0.15,42484769.09
07/05/2022,Transfer,,PaymentServiceB Savings **6977,Account1,3500000,45984769.09
07/05/2022,Expense,Gusto,GUSTO,Account1,-0.15,45984768.94
07/05/2022,Transfer,,PaymentServiceB Savings **6977,Account1,3500000,49484768.94
07/05/2022,Expense,Gusto,GUSTO,Accounts Payable (A/P),-0.15,49484768.79
07/06/2022,Expense,Reuben Hills,Mike ross,Meals & Entertainment,52,49484820.79
07/06/2022,Expense,Jane Surry Hills Restaurant,Mike ross,Credit Card - Ramp,276.31,49485097.1
07/06/2022,Expense,Reuben Hills,Mike ross,Credit Card - Ramp,52,49485149.1
07/06/2022,Expense,Jane Surry Hills Restaurant,,Meals & Entertainment,276.31,49485425.41
07/06/2022,Expense,Jane Surry Hills Restaurant,,Meals & Entertainment,276.31,49485701.72
07/06/2022,Expense,Reuben Hills,Mike ross,Meals & Entertainment,52,49485753.72
07/06/2022,Expense,Jane Surry Hills Restaurant,,Meals & Entertainment,276.31,49486030.03
07/06/2022,Expense,Reuben Hills,Mike ross,Meals & Entertainment,52,49486082.03
07/06/2022,Expense,Jane Surry Hills Restaurant,Mike ross,Credit Card - Ramp,276.31,49486358.34
07/06/2022,Deposit,BIG VC Investors,BIG VC Investors.,Series Seed Preferred Share:Accel -Investment,1050000,50536358.34
07/06/2022,Expense,Reuben Hills,Mike ross,Credit Card - Ramp,52,50536410.34
07/06/2022,Deposit,BIG VC Investors,BIG VC Investors.,Account1,1050000,51586410.34
07/06/2022,Expense,Jane Surry Hills Restaurant,Mike ross,Credit Card - Ramp,276.31,51586686.65
07/06/2022,Deposit,BIG VC Investors,BIG VC Investors.,Series Seed Preferred Share:Accel -Investment,1050000,52636686.65
07/06/2022,Deposit,BIG VC Investors,BIG VC Investors.,Account1,1050000,53686686.65
07/06/2022,Deposit,BIG VC Investors,BIG VC Investors.,Series Seed Preferred Share:Accel -Investment,1050000,54736686.65
07/06/2022,Deposit,BIG VC Investors,BIG VC Investors.,Account1,1050000,55786686.65
07/06/2022,Expense,Jane Surry Hills Restaurant,,Meals & Entertainment,276.31,55786962.96
07/06/2022,Deposit,BIG VC Investors,BIG VC Investors.,Account1,1050000,56836962.96
07/06/2022,Expense,Reuben Hills,Mike ross,Credit Card - Ramp,52,56837014.96
07/06/2022,Expense,Jane Surry Hills Restaurant,Mike ross,Credit Card - Ramp,276.31,56837291.27
07/06/2022,Deposit,BIG VC Investors,BIG VC Investors.,Series Seed Preferred Share:Accel -Investment,1050000,57887291.27
07/06/2022,Expense,Reuben Hills,Mike ross,Meals & Entertainment,52,57887343.27
07/06/2022,Expense,Reuben Hills,Mike ross,Credit Card - Ramp,52,57887395.27
07/07/2022,Expense,Mailchimp,Mike ross,Credit Card - Ramp,22.93,57887418.2
07/07/2022,Expense,Mailchimp,,Tools & Subscription - G&A,22.93,57887441.13
07/07/2022,Expense,Mailchimp,,Tools & Subscription - G&A,22.93,57887464.06
07/07/2022,Expense,Mailchimp,Mike ross,Credit Card - Ramp,22.93,57887486.99
07/07/2022,Expense,Mailchimp,Mike ross,Credit Card - Ramp,22.93,57887509.92
07/07/2022,Expense,Mailchimp,,Tools & Subscription - G&A,22.93,57887532.85
07/07/2022,Expense,Mailchimp,,Tools & Subscription - G&A,22.93,57887555.78
07/08/2022,Expense,Calendly,,Tools & Subscription - G&A,80,57887635.78
07/08/2022,Expense,Calendly,Harvey Spector,Credit Card - Ramp,80,57887715.78
07/08/2022,Expense,Calendly,,Tools & Subscription - G&A,80,57887795.78
07/08/2022,Expense,The Crabbe Hole,,Meals & Entertainment,17.13,57887812.91
07/08/2022,Expense,The Crabbe Hole,Mike ross,Credit Card - Ramp,17.13,57887830.04
07/08/2022,Expense,Calendly,,Tools & Subscription - G&A,80,57887910.04
07/08/2022,Expense,The Crabbe Hole,Mike ross,Credit Card - Ramp,17.13,57887927.17
07/08/2022,Expense,The Crabbe Hole,,Meals & Entertainment,17.13,57887944.3
07/08/2022,Expense,The Crabbe Hole,,Meals & Entertainment,17.13,57887961.43
07/08/2022,Expense,Calendly,Harvey Spector,Credit Card - Ramp,80,57888041.43
07/08/2022,Expense,The Crabbe Hole,Mike ross,Credit Card - Ramp,17.13,57888058.56
07/08/2022,Expense,The Crabbe Hole,Mike ross,Credit Card - Ramp,17.13,57888075.69
07/08/2022,Expense,Calendly,Harvey Spector,Credit Card - Ramp,80,57888155.69
07/08/2022,Expense,Calendly,,Tools & Subscription - G&A,80,57888235.69
07/08/2022,Expense,The Crabbe Hole,,Meals & Entertainment,17.13,57888252.82
07/09/2022,Expense,Usersnap,Harris Jose,Credit Card - Ramp,19,57888271.82
07/09/2022,Expense,Usersnap,Harris Jose,Credit Card - Ramp,19,57888290.82
07/09/2022,Expense,Pragmaticengineer.Com,,Tools & Subscription - G&A,15,57888305.82
07/09/2022,Expense,Usersnap,,Tools & Subscription - G&A,19,57888324.82
07/09/2022,Expense,Usersnap,Harris Jose,Credit Card - Ramp,19,57888343.82
07/09/2022,Expense,Pragmaticengineer.Com,Harvey Spector,Credit Card - Ramp,15,57888358.82
07/09/2022,Expense,Usersnap,,Tools & Subscription - G&A,19,57888377.82
07/09/2022,Expense,Pragmaticengineer.Com,Harvey Spector,Credit Card - Ramp,15,57888392.82
07/09/2022,Expense,Pragmaticengineer.Com,,Tools & Subscription - G&A,15,57888407.82
07/09/2022,Expense,Pragmaticengineer.Com,,Tools & Subscription - G&A,15,57888422.82
07/09/2022,Expense,Usersnap,,Tools & Subscription - G&A,19,57888441.82
07/09/2022,Expense,Pragmaticengineer.Com,,Tools & Subscription - G&A,15,57888456.82
07/09/2022,Expense,Usersnap,,Tools & Subscription - G&A,19,57888475.82
07/09/2022,Expense,Pragmaticengineer.Com,Harvey Spector,Credit Card - Ramp,15,57888490.82
07/10/2022,Expense,The New York Times,,General business expenses:Memberships & subscriptions,1.38,57888492.2
07/10/2022,Expense,The New York Times,Mike ross,Credit Card - Ramp,1.38,57888493.58
07/10/2022,Expense,The New York Times,Mike ross,Credit Card - Ramp,1.38,57888494.96
07/10/2022,Expense,The New York Times,Mike ross,Credit Card - Ramp,1.38,57888496.34
07/10/2022,Expense,Pause Cafe,Harvey Spector,Credit Card - Ramp,7,57888503.34
07/10/2022,Expense,Pause Cafe,Harvey Spector,Meals & Entertainment,7,57888510.34
07/10/2022,Expense,Pause Cafe,Harvey Spector,Credit Card - Ramp,7,57888517.34
07/10/2022,Expense,Pause Cafe,Harvey Spector,Meals & Entertainment,7,57888524.34
07/10/2022,Expense,Pause Cafe,Harvey Spector,Meals & Entertainment,7,57888531.34
07/10/2022,Expense,The New York Times,,General business expenses:Memberships & subscriptions,1.38,57888532.72
07/10/2022,Expense,Pause Cafe,Harvey Spector,Credit Card - Ramp,7,57888539.72
07/10/2022,Expense,The New York Times,Mike ross,Credit Card - Ramp,1.38,57888541.1
07/10/2022,Expense,The New York Times,,General business expenses:Memberships & subscriptions,1.38,57888542.48
07/10/2022,Expense,The New York Times,,General business expenses:Memberships & subscriptions,1.38,57888543.86
07/10/2022,Expense,Pause Cafe,Harvey Spector,Meals & Entertainment,7,57888550.86
07/10/2022,Expense,Pause Cafe,Harvey Spector,Credit Card - Ramp,7,57888557.86
07/12/2022,Transfer,,PaymentServiceB Savings **6977,Account1,800000,58688557.86
07/12/2022,Expense,Heroku,Balapavan Tirumani,Credit Card - Ramp,30,58688587.86
07/12/2022,Transfer,,PaymentServiceB Savings **6977,Savings (6977),-800000,57888587.86
07/12/2022,Expense,Heroku,Balapavan Tirumani,Tools & Subscription - S&M,30,57888617.86
07/12/2022,Transfer,,PaymentServiceB Savings **6977,Savings (6977),-800000,57088617.86
07/12/2022,Transfer,,PaymentServiceB Savings **6977,Account1,800000,57888617.86
07/12/2022,Expense,Heroku,Balapavan Tirumani,Tools & Subscription - S&M,30,57888647.86
07/12/2022,Expense,Heroku,Balapavan Tirumani,Tools & Subscription - S&M,30,57888677.86
07/12/2022,Transfer,,PaymentServiceB Savings **6977,Account1,800000,58688677.86
07/12/2022,Transfer,,PaymentServiceB Savings **6977,Savings (6977),-800000,57888677.86
07/12/2022,Expense,Heroku,Balapavan Tirumani,Credit Card - Ramp,30,57888707.86
07/12/2022,Transfer,,PaymentServiceB Savings **6977,Savings (6977),-800000,57088707.86
07/12/2022,Expense,Heroku,Balapavan Tirumani,Tools & Subscription - S&M,30,57088737.86
07/12/2022,Expense,Heroku,Balapavan Tirumani,Credit Card - Ramp,30,57088767.86
07/12/2022,Transfer,,PaymentServiceB Savings **6977,Account1,800000,57888767.86
07/13/2022,Expense,Figma,Mike ross,Credit Card - Ramp,270,57889037.86
07/13/2022,Expense,Big Company ,Big Company ,Accounts Payable (A/P),-100000,57789037.86
07/13/2022,Expense,Intercom,,Tools & Subscription - G&A,138,57789175.86
07/13/2022,Expense,Figma,,Tools & Subscription - G&A,1008,57790183.86
07/13/2022,Expense,Big Company ,Big Company ,Account1,-100000,57690183.86
07/13/2022,Expense,Big Company ,Big Company ,Accounts Payable (A/P),-100000,57590183.86
07/13/2022,Expense,Intercom,,Tools & Subscription - G&A,138,57590321.86
07/13/2022,Expense,Figma,,Tools & Subscription - G&A,1008,57591329.86
07/13/2022,Expense,Figma,,Tools & Subscription - G&A,270,57591599.86
07/13/2022,Expense,Big Company ,Big Company ,Account1,-100000,57491599.86
07/13/2022,Expense,Figma,,Tools & Subscription - G&A,270,57491869.86
07/13/2022,Expense,Intercom,,Tools & Subscription - G&A,138,57492007.86
07/13/2022,Expense,Figma,,Tools & Subscription - G&A,270,57492277.86
07/13/2022,Expense,Figma,,Tools & Subscription - G&A,1008,57493285.86
07/13/2022,Expense,Figma,,Tools & Subscription - G&A,270,57493555.86
07/13/2022,Expense,Big Company ,Big Company ,Accounts Payable (A/P),-100000,57393555.86
07/13/2022,Expense,Big Company ,Big Company ,Account1,-100000,57293555.86
07/13/2022,Expense,Big Company ,Big Company ,Accounts Payable (A/P),-100000,57193555.86
07/13/2022,Expense,Figma,,Tools & Subscription - G&A,1008,57194563.86
07/13/2022,Expense,Figma,Mike ross,Credit Card - Ramp,270,57194833.86
07/13/2022,Expense,Big Company ,Big Company ,Account1,-100000,57094833.86
07/13/2022,Expense,Intercom,Balapavan Tirumani,Credit Card - Ramp,138,57094971.86
07/13/2022,Expense,Figma,Mike ross,Credit Card - Ramp,1008,57095979.86
07/13/2022,Expense,Figma,Mike ross,Credit Card - Ramp,1008,57096987.86
07/13/2022,Expense,Intercom,Balapavan Tirumani,Credit Card - Ramp,138,57097125.86
07/13/2022,Expense,Figma,Mike ross,Credit Card - Ramp,1008,57098133.86
07/13/2022,Expense,Figma,Mike ross,Credit Card - Ramp,270,57098403.86
07/13/2022,Expense,Intercom,,Tools & Subscription - G&A,138,57098541.86
07/13/2022,Expense,Intercom,Balapavan Tirumani,Credit Card - Ramp,138,57098679.86
07/14/2022,Expense,LinkedIn,,Tools & Subscription - G&A,90.35,57098770.21
07/14/2022,Expense,Intuit,,Tools & Subscription - G&A,55,57098825.21
07/14/2022,Expense,LinkedIn,,Tools & Subscription - G&A,90.35,57098915.56
07/14/2022,Expense,Intuit,,Tools & Subscription - G&A,55,57098970.56
07/14/2022,Expense,Intuit,,Tools & Subscription - G&A,55,57099025.56
07/14/2022,Expense,LinkedIn,,Tools & Subscription - G&A,90.35,57099115.91
07/14/2022,Expense,Intuit,Harvey Spector,Credit Card - Ramp,55,57099170.91
07/14/2022,Expense,LinkedIn,Harvey Spector,Credit Card - Ramp,90.35,57099261.26
07/14/2022,Expense,Intuit,Harvey Spector,Credit Card - Ramp,55,57099316.26
07/14/2022,Expense,Intuit,,Tools & Subscription - G&A,55,57099371.26
07/14/2022,Expense,LinkedIn,Harvey Spector,Credit Card - Ramp,90.35,57099461.61
07/14/2022,Expense,LinkedIn,,Tools & Subscription - G&A,90.35,57099551.96
07/14/2022,Expense,Intuit,Harvey Spector,Credit Card - Ramp,55,57099606.96
07/14/2022,Expense,LinkedIn,Harvey Spector,Credit Card - Ramp,90.35,57099697.31
07/16/2022,Expense,Zapier,,Tools & Subscription - G&A,29.99,57099727.3
07/16/2022,Expense,Intuit India,,Tools & Subscription - G&A,15.68,57099742.98
07/16/2022,Expense,Zapier,Harvey Spector,Credit Card - Ramp,29.99,57099772.97
07/16/2022,Expense,Zapier,Harvey Spector,Credit Card - Ramp,29.99,57099802.96
07/16/2022,Expense,Intuit India,Harvey Spector,Credit Card - Ramp,15.68,57099818.64
07/16/2022,Expense,Zapier,,Tools & Subscription - G&A,29.99,57099848.63
07/16/2022,Expense,Zapier,,Tools & Subscription - G&A,29.99,57099878.62
07/16/2022,Expense,Intuit India,Harvey Spector,Credit Card - Ramp,15.68,57099894.3
07/16/2022,Expense,Zapier,Harvey Spector,Credit Card - Ramp,29.99,57099924.29
07/16/2022,Expense,Intuit India,Harvey Spector,Credit Card - Ramp,15.68,57099939.97
07/16/2022,Expense,Intuit India,,Tools & Subscription - G&A,15.68,57099955.65
07/16/2022,Expense,Zapier,,Tools & Subscription - G&A,29.99,57099985.64
07/16/2022,Expense,Intuit India,,Tools & Subscription - G&A,15.68,57100001.32
07/16/2022,Expense,Intuit India,,Tools & Subscription - G&A,15.68,57100017
07/18/2022,Expense,Superhuman,Harvey Spector,Credit Card - Ramp,30,57100047
07/18/2022,Expense,Superhuman,,Professional Service Charges,30,57100077
07/18/2022,Expense,LinkedIn,,Tools & Subscription - G&A,155.58,57100232.58
07/18/2022,Expense,Superhuman,,Professional Service Charges,30,57100262.58
07/18/2022,Expense,LinkedIn,Mike ross,Credit Card - Ramp,155.58,57100418.16
07/18/2022,Expense,LinkedIn,,Tools & Subscription - G&A,155.58,57100573.74
07/18/2022,Expense,LinkedIn,,Tools & Subscription - G&A,155.58,57100729.32
07/18/2022,Expense,Superhuman,Harvey Spector,Credit Card - Ramp,30,57100759.32
07/18/2022,Expense,Superhuman,Harvey Spector,Credit Card - Ramp,30,57100789.32
07/18/2022,Expense,Superhuman,,Professional Service Charges,30,57100819.32
07/18/2022,Expense,LinkedIn,,Tools & Subscription - G&A,155.58,57100974.9
07/18/2022,Expense,Superhuman,,Professional Service Charges,30,57101004.9
07/18/2022,Expense,Superhuman,Harvey Spector,Credit Card - Ramp,30,57101034.9
07/18/2022,Expense,LinkedIn,Mike ross,Credit Card - Ramp,155.58,57101190.48
07/18/2022,Expense,LinkedIn,Mike ross,Credit Card - Ramp,155.58,57101346.06
07/20/2022,Deposit,,"APPLE R238 SYDNEY, Returned a phone and bought a case since my phone was damaged",Account1,-1180.45,57100165.61
07/20/2022,Credit Card Payment,,RAMP BUSINESS CO,Credit Card - Ramp,-4323.35,57095842.26
07/20/2022,Expense,,K&L Gates,Account1,16500,57112342.26
07/20/2022,Expense,,K&L Gates,Professional Service Charges,-16500,57095842.26
07/20/2022,Deposit,,"APPLE R238 SYDNEY, Returned a phone and bought a case since my phone was damaged",Account1,-1180.45,57094661.81
07/20/2022,Expense,,Apple,Account1,1180.45,57095842.26
07/20/2022,Deposit,,APPLE R238 SYDNEY,IPhone,1180.45,57097022.71
07/20/2022,Expense,,Apple,-Split-,-1338.3,57095684.41
07/20/2022,Expense,Netlify,,Tools & Subscription - G&A,6.33,57095690.74
07/20/2022,Credit Card Payment,,RAMP BUSINESS CO,Account1,-4323.35,57091367.39
07/20/2022,Expense,Netlify,Balapavan Tirumani,Credit Card - Ramp,6.33,57091373.72
07/20/2022,Credit Card Payment,,RAMP BUSINESS CO,Account1,-4323.35,57087050.37
07/20/2022,Expense,,K&L Gates,Professional Service Charges,-16500,57070550.37
07/20/2022,Expense,Netlify,,Tools & Subscription - G&A,6.33,57070556.7
07/20/2022,Expense,Netlify,Balapavan Tirumani,Credit Card - Ramp,6.33,57070563.03
07/20/2022,Expense,Netlify,Balapavan Tirumani,Credit Card - Ramp,6.33,57070569.36
07/20/2022,Expense,,Apple,Account1,1180.45,57071749.81
07/20/2022,Expense,,Mobile Case,Account1,157.85,57071907.66
07/20/2022,Credit Card Payment,,RAMP BUSINESS CO,Credit Card - Ramp,-4323.35,57067584.31
07/20/2022,Expense,Netlify,,Tools & Subscription - G&A,6.33,57067590.64
07/20/2022,Credit Card Payment,,RAMP BUSINESS CO,Credit Card - Ramp,-4323.35,57063267.29
07/20/2022,Expense,,Apple,-Split-,-1338.3,57061928.99
07/20/2022,Deposit,,APPLE R238 SYDNEY,IPhone,1180.45,57063109.44
07/20/2022,Credit Card Payment,,RAMP BUSINESS CO,Account1,-4323.35,57058786.09
07/20/2022,Expense,,Apple,Account1,1180.45,57059966.54
07/20/2022,Expense,,Mobile Case,Account1,157.85,57060124.39
07/20/2022,Expense,,K&L Gates,Account1,16500,57076624.39
07/20/2022,Expense,,Mobile Case,Account1,157.85,57076782.24
07/20/2022,Deposit,,APPLE R238 SYDNEY,IPhone,1180.45,57077962.69
07/20/2022,Deposit,,APPLE R238 SYDNEY,IPhone,1180.45,57079143.14
07/20/2022,Expense,,Apple,-Split-,-1338.3,57077804.84
07/20/2022,Expense,Netlify,,Tools & Subscription - G&A,6.33,57077811.17
07/20/2022,Credit Card Payment,,RAMP BUSINESS CO,Account1,-4323.35,57073487.82
07/20/2022,Expense,,Apple,-Split-,-1338.3,57072149.52
07/20/2022,Expense,,K&L Gates,Professional Service Charges,-16500,57055649.52
07/20/2022,Expense,,K&L Gates,Account1,16500,57072149.52
07/20/2022,Credit Card Payment,,RAMP BUSINESS CO,Credit Card - Ramp,-4323.35,57067826.17
07/20/2022,Deposit,,"APPLE R238 SYDNEY, Returned a phone and bought a case since my phone was damaged",Account1,-1180.45,57066645.72
07/20/2022,Expense,,K&L Gates,Professional Service Charges,-16500,57050145.72
07/20/2022,Expense,,Mobile Case,Account1,157.85,57050303.57
07/20/2022,Expense,,Apple,Account1,1180.45,57051484.02
07/20/2022,Expense,,K&L Gates,Account1,16500,57067984.02
07/20/2022,Deposit,,"APPLE R238 SYDNEY, Returned a phone and bought a case since my phone was damaged",Account1,-1180.45,57066803.57
07/21/2022,Expense,Slack,,Tools & Subscription - G&A,883.29,57067686.86
07/21/2022,Expense,Slack,Mike ross,Credit Card - Ramp,883.29,57068570.15
07/21/2022,Expense,Slack,,Tools & Subscription - G&A,883.29,57069453.44
07/21/2022,Expense,Slack,Mike ross,Credit Card - Ramp,883.29,57070336.73
